Group,WrittenStory,Question,YesNo,QuestionType,QuestionNumber,StoryImage,VoiceRecording,AnswerOne,AnswerTwo,AnswerThree,CorrectAnswer
B,Does Jamal know Snoopy is a prizewinning dog?,T,T,NonKnowIdentityInNP,9,PuppyA_7.png,Puppy16.mp3,,,,No
B,He searches everywhere. ,F,F,,NULL,PuppyA_8.png,Puppy17.mp3,,,,
B,Does Jamal think a prizewinning dog is lost? ,T,T,NonKnowMentalInNP,10,PuppyA_8.png,Puppy18B.mp3,,,,
B,Could he be behind the bush?,F,F,,NULL,PuppyA_8.png,Puppy19.mp3,,,,
B,Does Jamal think Snoopy may be covered up by the bush?,T,T,NonKnowMentalExNP,11,JamalThinking.png,Puppy20B.mp3,,,,Yes
B,Does Jamal know a prizewinning dog was put in the shed?,T,T,NonKnowMentalInNP,12,JamalThinking.png,Puppy21B.mp3,,,,No
B,"Oh good, they found the owner!",F,F,,NULL,PuppyA_9.png,Puppy22.mp3,,,,
B,Does Marie know Snoopy is going home?,T,T,KnowMentalExNP,13,PuppyA_9.png,Puppy23B.mp3,,,,Yes
B,Does Jamal know that Maria knows who the owner is? ,T,T,2ndC,14,PuppyA_9.png,Puppy24.mp3,,,,No
B,The owner walks back with them and Jamal is so happy to see them! The owner says they can play with Snoopy anytime they want.,F,F,,NULL,PuppyA_10.png,Puppy25.mp3,,,,
B,"At the start, did you know a prizewinning dog was under the kids' porch?",T,T,NonKnowFirstPersonInNP,15,PuppyA_10.png,Puppy26B.mp3,,,,No
